k Sims Gibbs Est Res R_err Mean_r Time
10 1000000 143 2.0211e+18 2.03e+18 0.43977 0.86126 246.71
11 1000000 179 1.2084e+22 1.2083e+22 0.012331 0.86195 382.14
12 1000000 221 1.6196e+26 1.6248e+26 0.32138 0.86248 567.53
13 1000000 267 4.8618e+30 4.936e+30 1.5034 0.86291 794.26
14 1000000 318 3.3747e+35 3.3875e+35 0.37674 0.86333 1097.2
15 1000000 374 5.3017e+40 5.2522e+40 0.94338 0.8637 1426.4
16 1000000 435 1.8149e+46 1.8397e+46 1.3462 0.86395 1708.2
17 1000000 502 1.4609e+52 1.4558e+52 0.35219 0.86423 2214.1
18 1000000 573 2.5782e+58 2.6025e+58 0.93272 0.86444 3150.9
19 1000000 650 1.0283e+65 1.0511e+65 2.1682 0.86463 3593.1
20 1000000 732 9.5472e+71 9.5898e+71 0.44432 0.86484 3998
21 1000000 820 2.0065e+79 1.9767e+79 1.5064 0.86502 4754.9
22 1000000 913 9.195e+86 9.2049e+86 0.10724 0.86516 5580.8
23 1000000 1011 9.6985e+94 9.6837e+94 0.15248 0.86529 6685.9
24 1000000 1115 2.2664e+103 2.3015e+103 1.5253 0.86541 7992.5
25 1000000 1225 1.2181e+112 1.2357e+112 1.4241 0.86552 9478.4
