k Sims Gibbs Est Res R_err Mean_r Time
10 1000000 132 2.0369e+18 2.03e+18 0.33794 0.86129 126.04
11 1000000 167 1.2204e+22 1.2083e+22 0.99734 0.86198 190.09
12 1000000 206 1.6322e+26 1.6248e+26 0.45398 0.86251 285.59
13 1000000 250 4.8742e+30 4.936e+30 1.2514 0.86292 369.94
14 1000000 298 3.407e+35 3.3875e+35 0.57494 0.86335 467.89
15 1000000 351 5.24e+40 5.2522e+40 0.23321 0.86368 615.3
16 1000000 409 1.8684e+46 1.8397e+46 1.5588 0.864 803.12
17 1000000 472 1.4704e+52 1.4558e+52 1.0055 0.86425 1100.4
18 1000000 540 2.5908e+58 2.6025e+58 0.45139 0.86445 1322.9
19 1000000 613 1.04e+65 1.0511e+65 1.0602 0.86465 1750.9
20 1000000 691 9.6915e+71 9.5898e+71 1.0609 0.86485 2312.2
21 1000000 774 1.9414e+79 1.9767e+79 1.7867 0.86499 2606.8
22 1000000 863 9.0533e+86 9.2049e+86 1.6475 0.86514 3351.3
23 1000000 957 9.5697e+94 9.6837e+94 1.1776 0.86528 4018.2
24 1000000 1056 2.3003e+103 2.3015e+103 0.051376 0.86542 4278.8
25 1000000 1160 1.2266e+112 1.2357e+112 0.7397 0.86553 4818.3
