k q Gibbs Est Res⭑ R_err Time
3 2 15 2 2 0 473.724
3 3 19 246 246 0 1065.65
3 4 24 9618 9612 0.06242 1692.58
3 5 27 142803 142820 0.0119 2432.79
3 6 31 1166838 1166910 0.00617 3052.65
3 7 36 6461619 6464682 0.04738 3529.93
3 8 40 27336133 27350456 0.05237 3804.24
3 9 45 94983776 95004072 0.02136 5032.08
3 10 50 283941823 283982490 0.01432 6117.6
3 11 55 754227186 754324670 0.01292 6806.97
3 12 60 1822620799 1821684612 0.05139 8302.3
3 13 67 4067781228 4067709516 0.001763 8482.63
3 14 74 8502754526 8506024982 0.03845 8902.75
3 15 74 16824103514 16822697010 0.008361 9452.18
