k q Gibbs Est Res⭑ R_err Mean_r Time
4 2 27 2 2 0 0.68595 0.0144
4 3 35 8318 7812 6.477 0.70153 0.0517
4 4 42 5999002 6000732 0.02883 0.76058 0.0554
4 5 49 835117690 828850160 0.7562 0.80497 0.108
4 6 56 36750338095 38128724910 3.615 0.83457 0.116
4 7 64 905750851579 856858754052 5.706 0.86064 0.155
4 8 71 12345718176664 11722360851992 5.318 0.87787 0.151
4 9 80 110848209702894 111647093496192 0.7155 0.88928 0.226
4 10 88 819348166022504 807567269568570 1.459 0.90102 0.237
4 11 98 4713885789780807 4707230299664420 0.1414 0.9095 0.298
4 12 108 23682603713340670 23062698161984052 2.688 0.91795 0.3
4 13 119 98420394331404443 97963534144477872 0.4664 0.92346 0.338
4 14 131 387610905433040952 369313246327400102 4.955 0.93061 0.366
4 15 145 1274865690166374011 1258250118125770980 1.321 0.93398 0.396
