k q Gibbs Est Res⭑ R_err Mean_r Time
6 2 86 2 2 0 0.70865 1.7
6 3 108 1.014e+08 1.016e+08 0.1924 0.70478 6.15
6 4 127 3.7604e+14 3.8005e+14 1.056 0.76166 7.36
6 5 147 3.2662e+19 3.2921e+19 0.7871 0.80513 14.8
6 6 167 2.1858e+23 2.2348e+23 2.194 0.83581 15.8
6 7 188 2.8485e+26 2.8636e+26 0.5268 0.85872 20.5
6 8 209 1.171e+29 1.157e+29 1.208 0.87624 20.8
6 9 232 2.0072e+31 2.0173e+31 0.501 0.88954 35.5
6 10 257 1.8489e+33 1.8597e+33 0.5802 0.90043 43.1
6 11 283 1.03e+35 1.0409e+35 1.056 0.90931 44.4
6 12 311 3.8433e+36 3.9027e+36 1.522 0.91672 56
6 13 342 1.0461e+38 1.0532e+38 0.675 0.9232 61.5
6 14 376 2.1888e+39 2.1601e+39 1.33 0.92895 64.2
6 15 413 3.5282e+40 3.5111e+40 0.4866 0.93355 63.3
